recipe_href	title	recipe_id	new_recipe_id	new_fsa_score	sodium	selection_burger	selection_salad	selection_pasta	selection_curry	avg_z_ratings	afbeeldingaanpassen	img	img_visual	rating	fat	calories	sugar
http://allrecipes.com/recipe/turkey-curry-with-cashews/detail.aspx	Turkey Curry with Cashews	64328	1	8	766				1	.70200002	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/64328.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n64328.png	400	44.7	786	5
http://allrecipes.com/recipe/curry-sausage-couscous/detail.aspx	Curry Sausage Couscous	66015	2	8	1005				1	.52499998	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/66015.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n66015.png	475	56.4	821	2
http://allrecipes.com/recipe/hamburgers-chili-dog-style/detail.aspx	Burgers Chili Dog Style	69361	3	9	1013.6	1				.090000004	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/69361.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n69361.png	440	32.1	423.2	4
http://allrecipes.com/recipe/curry-mango-chicken/detail.aspx	Curry Mango Chicken	76685	4	8	620.3				1	-.366	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/76685.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n76685.png	405	46	769	19.5
http://allrecipes.com/recipe/pasta-with-spinach-and-smoked-sausage/detail.aspx	Pasta with Spinach and Smoked Sausage	77626	5	4	494			1		.125	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/77626.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n77626.png	450	6.2	283	4
http://allrecipes.com/recipe/curried-chicken-and-potatoes/detail.aspx	Chicken and Potatoes Curry	91317	6	5	427.9				1	.57200003	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/91317.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n91317.png	417	16.9	284.2	6
http://allrecipes.com/recipe/pasta-salad-i/detail.aspx	Fusili pasta with Brocoli	93061	7	5	30.7			1		1.556	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/93061.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/93061.jpg	451	2.2	472.2	13.8
http://allrecipes.com/recipe/pasta-with-chicken-and-roasted-pepper-cream-sauce/detail.aspx	Pasta With Chicken and Roasted Pepper Cream Sauce	93696	8	9	1027			1		.27200001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/93696.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n93696.png	450	42.6	482	3
http://allrecipes.com/recipe/cheddar-bacon-hamburgers/detail.aspx	Cheddar Bacon Burgers	96388	9	9	1132.8	1				-.0020000001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/96388.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n96388.png	457	34.2	445.8	3.5
http://allrecipes.com/recipe/pasta-with-lentil-soup-sauce/detail.aspx	Pasta with Lentil Soup Sauce	98582	10	4	246.8			1		-.53200001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/98582.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n98582.png	408	2	276.9	1.5
http://allrecipes.com/recipe/pasta-sauce-with-italian-sausage/detail.aspx	Pasta Sauce with Italian Sausage	99094	11	9	1517.8			1		1.431	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/99094.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n99094.png	460	33.1	339.2	5.9
http://allrecipes.com/recipe/pasta-pomodoro/detail.aspx	Pasta Pomodoro	112281	12	5	349.9			1		1.114	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/112281.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/112281.jpg	445	21.2	499.7	6.5
http://allrecipes.com/recipe/tomato-basil-salad-3/detail.aspx	A Tomato-Basil Salad	115820	13	5	133.7		1			.991	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/115820.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/115820.jpg	500	11.7	130.5	4.7
http://allrecipes.com/recipe/campbells-pizza-burgers/detail.aspx	Pizza Burgers	118276	14	9	1570	1				1.184	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/118276.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/118276.jpg	300	26	648	15
http://allrecipes.com/recipe/butter-bean-burgers/detail.aspx	Butter Bean Burgers	121991	15	7	565	1				-.33000001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/121991.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n121991.png	435	25.7	296.9	1.8
http://allrecipes.com/recipe/curried-chicken-with-rice/detail.aspx	Curry Chicken with Rice	126514	16	10	220.2				1	-.704	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/126514.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n126514.png	438	73	912.9	31.4
http://allrecipes.com/recipe/cucumber-carrot-salad/detail.aspx	B Cucumber-Carrot Salad	130018	17	4	335.5		1			.54900002	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/130018.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n130018.png	417	1.6	59	6.7
http://allrecipes.com/recipe/curried-chicken-and-brown-rice-casserole/detail.aspx	Curry Chicken and Brown Rice Casserole	132656	18	5	620.3				1	.18099999	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/132656.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n132656.png	418	2.5	241.4	14.5
